content,cleaned_content,sentiment
verification of identity starts new challenge. fully updated phone. scan drivers licence ok sure fine. active camera black screen for 45 min. amazing I am running out of accounts to keep cycling threw to get crypto and accept payments and not have annoying verification steps,verification identity starts new challenge fully updated phone scan drivers licence ok sure fine active camera black screen min amazing running accounts keep cycling threw get crypto accept payments annoying verification steps,positive
"Won't let me edit my account, lots of bugs",let edit account lots bugs,neutral
.sairam.🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏.,sairam,neutral
Make it work,make work,neutral
Easy and just great,easy great,positive
"Xlent,wudnt use anything else x",xlent wudnt use anything else x,neutral
Love it,love,positive
Great for rent,great rent,positive
This app doesn't work in India. Why?,app work india,neutral
Its so good,good,positive
Use,use,neutral
Very easy to use!,easy use,positive
Easy experience to negotiate for an older person with limited computer skills.,easy experience negotiate older person limited computer skills,positive
